graph,seed,case,mode,y_measurement_error,response_reconstruction_error,parameter_rmse,active_parameter_mae,median_excitation_condition
10,0,52,multi_pwm,0.0006418834518573861,0.0004727146847143243,0.02831639375438993,0.05437637738131308,2.406067119898919
10,0,52,degenerate_pwm,1.115825361553185,0.00032153106291826517,0.028230791058995754,0.05368806642695369,14510028.900712712
10,0,52,single_pwm,0.9365952750459109,0.00011242454710962841,0.02823083550754386,0.05370591819280038,2.1419714404551782e+17
10,0,53,multi_pwm,0.00047838489474860484,0.0011436468412706054,0.027251040613339196,0.056149956930167375,2.402291431949046
10,0,53,degenerate_pwm,0.9875210963992584,0.0009455812026598527,0.027246007578910183,0.056214829579012776,16839062.01390021
10,0,53,single_pwm,0.9363775135698348,0.0008590422891962883,0.027248300910022873,0.056209706042740865,3.729486920033077e+16
10,0,54,multi_pwm,0.0005461468726092541,5.073963185504912e-05,0.03955042034513594,0.09911112760334052,2.40684790352144
10,0,54,degenerate_pwm,1.1910573150574246,0.00016804705766104377,0.03954897367175395,0.09910650672513409,14640670.377568766
10,0,54,single_pwm,0.9365461819158077,0.00015089986120078925,0.03954874328580049,0.09911224671337987,2.0483228568259788e+16
10,0,55,multi_pwm,0.0006602718545592687,0.0003171327975135272,0.038203446073285234,0.09341265480022698,2.4056077191304857
10,0,55,degenerate_pwm,0.819733702521557,5.88783732149528e-05,0.038202352815665815,0.09346852950811671,6923366.34398715
10,0,55,single_pwm,0.9366966917104539,0.0003645524832562738,0.038203554272554965,0.0934269721259082,1.4605332701404884e+16
10,0,56,multi_pwm,0.00041435379674241885,0.0004904173772502793,0.030216970773190625,0.057259665162657666,2.404275005800153
10,0,56,degenerate_pwm,1.1196882947144156,0.00029885605952567764,0.030175115123133995,0.05669228879348765,5967664.024613912
10,0,56,single_pwm,0.9366112974533536,0.0005180266441125656,0.03017556003772832,0.056619520415668055,3.009348349235663e+16
10,0,57,multi_pwm,0.0005114506364405219,0.0002751314187272053,0.023796905437684784,0.0498413365488927,2.4046394238175512
10,0,57,degenerate_pwm,1.0768336731379995,0.0001708349793537636,0.023780929051290946,0.05014463729262464,9499166.623409662
10,0,57,single_pwm,0.936736845795924,0.00018504874145415344,0.023782353990691122,0.05013076505313605,2.190598664467217e+16
10,0,58,multi_pwm,0.0005376284767534427,0.00010472234340323474,0.022138407467431596,0.050373593627167604,2.40574089012068
10,0,58,degenerate_pwm,1.036435295631261,1.7740296630276446e-05,0.02213766081890461,0.05040988204992731,7580419.255507
10,0,58,single_pwm,0.9369513529519515,0.0001063238974189101,0.022137233849100338,0.050413428457577625,2.1069341812830732e+16
10,0,59,multi_pwm,0.0005002514133035071,0.0006210893336541765,0.01936962819396469,0.04635013798973399,2.4054167657962675
10,0,59,degenerate_pwm,1.0328763788927149,0.0003898413975221323,0.01915862078755121,0.04621249343229089,15225651.802048452
10,0,59,single_pwm,0.9370373893505041,0.00015093814701518102,0.019158463403040265,0.046270176872784716,1.6773045827836212e+16
10,0,60,multi_pwm,0.0004869601343044546,0.0007952647165046199,0.025245496199861425,0.059924794135400625,2.406270444134316
10,0,60,degenerate_pwm,0.9340507563537972,0.0004183106770637089,0.025010387358268923,0.05881991250136262,12559888.583030898
10,0,60,single_pwm,0.9364399849282616,9.158143717310909e-05,0.02501230271637784,0.0588592821526929,1.4602567180002768e+16
10,0,61,multi_pwm,0.0004054915019699963,0.0010519404002266876,0.033276393647175835,0.06549664624240933,2.4044244249658875
10,0,61,degenerate_pwm,1.0039016427097662,0.0004150678232518968,0.03324810975959119,0.06601394276945916,8798900.229920182
10,0,61,single_pwm,0.936942265832324,0.0012544421059593586,0.033248795738349865,0.0660707114425395,2.5485272321748824e+16
10,0,62,multi_pwm,0.00046714876068242094,0.001627706492816325,0.035084360287234696,0.08027589616571362,2.4054398712377574
10,0,62,degenerate_pwm,1.1203325796910992,0.0015417075967639755,0.03507113402431964,0.08066018834136698,9636862.643012056
10,0,62,single_pwm,0.9363188454447335,0.0011821370683359946,0.035072464454717116,0.08069184882913438,2.6690576165759024e+16
10,0,63,multi_pwm,0.0005786712715811583,0.0004072241327423492,0.027110499797203858,0.058064306223553463,2.406532098559752
10,0,63,degenerate_pwm,1.0772825869436227,0.0005179766382314769,0.02707389231968338,0.057977597156129365,17387738.61144773
