sections_per_winding,frequency_hz,global_relative_error,Re_Y11_S,Im_Y11_S
8,94406.08762859226,4.952868317900956e-15,0.019598900582994516,-0.23437079992926568
8,100000.0,4.952868317900956e-15,0.01748094971816888,-0.22142607484204246
8,105925.37251772897,4.952868317900956e-15,0.01559058120125123,-0.20917877929001882
8,112201.84543019652,4.952868317900956e-15,0.013903605288021509,-0.19759404555063576
8,118850.22274370189,4.952868317900956e-15,0.01239834905316406,-0.18663830940996373
8,125892.54117941661,4.952868317900956e-15,0.01105540571438099,-0.17627933658894968
8,133352.1432163324,4.952868317900956e-15,0.009857406590855738,-0.1664862327022556
8,141253.75446227554,4.952868317900956e-15,0.008788814154601976,-0.15722943985778226
8,149623.56560944358,4.952868317900956e-15,0.007835734620704665,-0.1484807225305329
8,158489.3192461114,4.952868317900956e-15,0.006985748545759868,-0.14021314493299508
8,167880.4018122559,4.952868317900956e-15,0.006227757952690982,-0.13240104174928735
8,177827.94100389228,4.952868317900956e-15,0.0055518485665465855,-0.1250199837951469
8,188364.9089489802,4.952868317900956e-15,0.0049491658236110875,-0.11804673990485659
8,199526.2314968883,4.952868317900956e-15,0.0044118034004384035,-0.11145923612347719
8,211348.90398366476,4.952868317900956e-15,0.003932703096633891,-0.10523651309356752
8,223872.11385683378,4.952868317900956e-15,0.0035055649926929167,-0.09935868236515044
8,237137.37056616554,4.952868317900956e-15,0.003124766890022168,-0.0938068822223086
8,251188.6431509582,4.952868317900956e-15,0.002785292123057538,-0.08856323350565032
8,266072.5059798814,4.952868317900956e-15,0.0024826649122324865,-0.08361079581414055
8,281838.2931264455,4.952868317900956e-15,0.002212892500872317,-0.07893352438960455
8,298538.26189179573,4.952868317900956e-15,0.0019724133885706124,-0.07451622792028423
8,316227.7660168379,4.952868317900956e-15,0.0017580510381257144,-0.07034452744418984
8,334965.43915782793,4.952868317900956e-15,0.0015669724926930528,-0.06640481648692598
8,354813.389233576,4.952868317900956e-15,0.0013966513945667877,-0.06268422253058048
8,375837.4042884443,4.952868317900956e-15,0.001244834947126669,-0.05917056987904512
8,398107.1705534969,4.952868317900956e-15,0.0011095144072158173,-0.055852343959614026
8,421696.5034285823,4.952868317900956e-15,0.0009888987368101426,-0.052718657079956044
8,446683.5921509635,4.952868317900956e-15,0.0008813910805852716,-0.04975921564286112
8,473151.2589614813,4.952868317900956e-15,0.0007855677701590815,-0.04696428880778214
8,501187.2336272725,4.952868317900956e-15,0.0007001595866710838,-0.044324678577656984
8,530884.4442309879,4.952868317900956e-15,0.0006240350412228292,-0.04183169128123454
