graph,seed,case,noise,method,response_error,full_parameter_rmse,active_parameter_mae,identifiable_coordinate_error,estimate_norm
10,0,8,0.01,oracle8,0.07039355847339054,0.02466082272597933,0.05479254347895968,0.556234458611667,0.1764321538110805
10,0,9,0.001,full56,0.014750220041579014,0.03530809012288925,0.07425516574304339,0.051858108726601494,0.04971500735029227
10,0,9,0.001,group5,0.2103776577511835,0.03549859780068897,0.07430977004476459,0.767823090795293,0.05097199068117839
10,0,9,0.001,fisher3,0.014759289584960084,0.03531504249653152,0.07385135070166644,0.1151035582492016,0.05266520796095686
10,0,9,0.001,fisher8,0.014759276303275849,0.03531506409452702,0.07385146032149134,0.1151035582492014,0.0526652080421229
10,0,9,0.001,oracle8,0.021022844841471648,0.03297981127926957,0.062372187657228906,0.0655348766679494,0.100712828157647
10,0,9,0.003,full56,0.051031638983150024,0.03544520246934617,0.07247842795944014,0.45964786160450316,0.06384763664626643
10,0,9,0.003,group5,0.21563591747911076,0.035781813341412505,0.07200325278502334,1.0542351055853578,0.0735811407734072
10,0,9,0.003,fisher3,0.05564936850442379,0.035547964132278294,0.07179119016335245,0.6067223591976918,0.0703489217875869
10,0,9,0.003,fisher8,0.05564928802357294,0.035547884244574716,0.07179086872710963,0.6067223591976919,0.07034892311583922
10,0,9,0.003,oracle8,0.06348422360921038,0.03300761748287249,0.06250673331245968,0.11357896548787931,0.09542372361943688
10,0,9,0.01,full56,0.18357928356938907,0.03534537967890639,0.07300584973569003,0.24360618426481312,0.06057645045237815
10,0,9,0.01,group5,0.2723010469223557,0.035599927434951266,0.07332657212824312,0.8767951949873933,0.05965609079861128
10,0,9,0.01,fisher3,0.18506990994790715,0.03537129100918564,0.07252458495015965,0.3142156789396438,0.06403126493714167
10,0,9,0.01,fisher8,0.18506987723444615,0.035371240724689425,0.07252436816591673,0.3142156789396437,0.06403126519790009
10,0,9,0.01,oracle8,0.22014859179630358,0.033620497934593055,0.06947006902853295,0.3968563110670054,0.1459577184361943
10,0,10,0.001,full56,0.03886047491113816,0.041379804660143106,0.08782537752527973,0.19802696427554414,0.04208163667304925
10,0,10,0.001,group5,0.040855109804189965,0.04117508574594167,0.08701064564087635,0.13800548313736705,0.044665498324469026
10,0,10,0.001,fisher3,0.03819126449361776,0.041370036538836204,0.08769594468002945,0.13722849795967348,0.04351377444974081
10,0,10,0.001,fisher8,0.03819126136789974,0.041370042999834884,0.08769598660613077,0.13722849795967404,0.043513774536024695
10,0,10,0.001,oracle8,0.012341695749971945,0.03760663947043134,0.06948137648638841,0.1948039400097144,0.12369483516552107
10,0,10,0.003,full56,0.042566454698497666,0.04142264437254525,0.08817238826333315,0.358703086936646,0.03897394902197455
10,0,10,0.003,group5,0.04472205425240453,0.04123848639405281,0.08747701862762833,0.30869304010585946,0.04029402994673428
10,0,10,0.003,fisher3,0.04208345357554105,0.04141039823325623,0.08809285104081493,0.3210773456597334,0.039564835171200435
