budget,case,n,method,port_response_mae,node_voltage_mae_norm,displacement_current_error_percent,peak_voltage_error_percent,peak_location_hit,peak_location_distance_norm,edge_retention
0.6,15,4,oracle_edge_current,6.236849893102395e-07,3.16328874136371e-08,8.705164969969044,6.030984959953296e-06,1.0,0.0,0.625
0.6,15,4,learned_gate,6.236849893102395e-07,3.16328874136371e-08,8.705164969969044,6.030984959953296e-06,1.0,0.0,0.625
0.6,16,6,distance,3.768161957022504e-07,1.884637018338468e-08,10.50564673215852,2.71467751991098e-06,1.0,0.0,0.611111111111111
0.6,16,6,magnitude,6.004989985906756e-07,1.9981938746018104e-08,14.305017977911916,3.800025233356078e-06,1.0,0.0,0.611111111111111
0.6,16,6,fisher_proxy,2.6498729092348795e-07,2.800062954137697e-08,12.152511971493574,2.416167850909911e-06,1.0,0.0,0.611111111111111
0.6,16,6,oracle_edge_current,2.8697304207478634e-07,2.225964075519083e-08,9.960314171490484,2.4648305500224825e-06,1.0,0.0,0.611111111111111
0.6,16,6,learned_gate,3.768161957022504e-07,1.884637018338468e-08,10.50564673215852,2.71467751991098e-06,1.0,0.0,0.611111111111111
0.6,17,8,distance,5.260702584919628e-07,3.066361773884075e-08,20.510186963816874,3.2031866006158215e-06,1.0,0.0,0.59375
0.6,17,8,magnitude,4.719676391222218e-07,2.664962368486523e-08,18.59514016427539,2.9237154504533168e-06,1.0,0.0,0.59375
0.6,17,8,fisher_proxy,2.837529960253669e-07,2.8826314190895915e-08,16.25423062686472,1.8504248469062224e-06,1.0,0.0,0.59375
0.6,17,8,oracle_edge_current,2.7021546537622785e-07,2.237385302175218e-08,14.646019539507153,1.7458518592126659e-06,1.0,0.0,0.59375
0.6,17,8,learned_gate,3.2452099779691397e-07,2.3068311404404322e-08,15.220210416154279,1.8547046864754113e-06,1.0,0.0,0.59375
0.6,18,4,distance,5.979538491386605e-07,2.272174071485732e-08,5.9930645489813505,5.18005100377113e-06,1.0,0.0,0.625
0.6,18,4,magnitude,5.979538491386605e-07,2.272174071485732e-08,5.9930645489813505,5.18005100377113e-06,1.0,0.0,0.625
0.6,18,4,fisher_proxy,5.312739636676352e-07,6.499991123486753e-08,11.078479811710466,7.85193316423954e-06,1.0,0.0,0.625
