case,n,method,port_response_mae,node_voltage_mae_norm,displacement_current_error_percent,peak_voltage_error_percent,peak_location_hit,peak_location_distance_norm,edge_retention
44,8,fisher_proxy,1.2624667980000447e-06,1.2773761893138498e-07,28.564779013381614,9.935745316572001e-06,1.0,0.0,0.40625
44,8,oracle_edge_current,1.2894338616421344e-06,1.1255503670259299e-07,27.126243411642747,9.107063534660163e-06,1.0,0.0,0.40625
44,8,learned_gate,1.2894338616421344e-06,1.1255503670259299e-07,27.126243411642747,9.107063534660163e-06,1.0,0.0,0.40625
45,4,distance,2.8947956433850173e-06,1.0702635492946145e-07,41.25453729786128,2.8391228418273933e-05,1.0,0.0,0.375
45,4,magnitude,2.0837690838527987e-06,1.1310382068554625e-07,33.048539001894014,2.9311329441840416e-05,1.0,0.0,0.375
45,4,fisher_proxy,1.5364622366268824e-06,1.1017174345488349e-07,30.474865588697753,1.8775126640916286e-05,1.0,0.0,0.375
45,4,oracle_edge_current,1.5364622366268824e-06,1.1017174345488349e-07,30.474865588697753,1.8775126640916286e-05,1.0,0.0,0.375
45,4,learned_gate,1.5364622366268824e-06,1.1017174345488349e-07,30.474865588697753,1.8775126640916286e-05,1.0,0.0,0.375
46,6,distance,4.718286550424069e-06,2.2466511390760093e-07,42.276080652669876,3.482029151735875e-05,1.0,0.0,0.38888888888888884
46,6,magnitude,3.6578403302048082e-06,2.297455475987718e-07,36.147936786699994,3.103499514325642e-05,1.0,0.0,0.38888888888888884
46,6,fisher_proxy,2.8308281279304137e-06,2.1587021402511344e-07,32.50491899595562,2.734532218601568e-05,1.0,0.0,0.38888888888888884
46,6,oracle_edge_current,2.3958743436395484e-06,2.2784607626611237e-07,30.141971049355814,2.5471998334981897e-05,1.0,0.0,0.38888888888888884
46,6,learned_gate,2.7173301384164425e-06,2.2082235083494432e-07,31.20479819397066,2.4959674657277004e-05,1.0,0.0,0.38888888888888884
47,8,distance,9.182933430158339e-07,5.0495265485444904e-08,28.855918450978013,5.567775705257773e-06,1.0,0.0,0.40625
47,8,magnitude,8.791557352491596e-07,5.353493266298846e-08,28.196145965525282,6.0962854615132106e-06,1.0,0.0,0.40625
47,8,fisher_proxy,5.557648990457224e-07,5.369288847270711e-08,24.46355295187064,4.24394805802172e-06,1.0,0.0,0.40625
47,8,oracle_edge_current,5.637103384803499e-07,4.7213595991020655e-08,23.15101893561583,3.887252010406559e-06,1.0,0.0,0.40625
47,8,learned_gate,5.890848307869845e-07,4.571065394001379e-08,23.171475900059534,4.1458053344206055e-06,1.0,0.0,0.40625
48,4,distance,3.3694551558815315e-06,1.0819513845572367e-07,48.85084487518389,2.9978094643447346e-05,1.0,0.0,0.375
48,4,magnitude,2.4831255130465696e-06,1.1355245444748126e-07,39.48309695882905,3.085652378331388e-05,1.0,0.0,0.375
48,4,fisher_proxy,1.8861375079219355e-06,1.0648651865640506e-07,35.63481634240462,1.9503489440192103e-05,1.0,0.0,0.375
