frequency_hz,Y11_real_s,Y11_imag_s,Y12_real_s,Y12_imag_s,Y22_real_s,Y22_imag_s
237953.048091146,0.003103404739109642,-0.09348142833986561,0.012411982016892918,-0.36817264825092094,0.04965447549785845,-1.496686874687537
245039.76194393955,0.0029266817306062946,-0.09077983280664026,0.011705183285196567,-0.3575489707630023,0.04682690734197559,-1.453490652871352
252337.53219476677,0.00276001218382365,-0.0881557733843309,0.0110385930810076,-0.3472306399087588,0.04416019457242437,-1.4115358816981214
259852.6445218819,0.002602825282614695,-0.08560704493230609,0.010409928442927102,-0.33720898836123103,0.04164520413077974,-1.370787304918684
267591.57180350635,0.002454582498085587,-0.0831315025729627,0.009817035541283105,-0.32747558584533604,0.039273319554663455,-1.331210631267151
275560.9796930165,0.002314775775897584,-0.08072706023170934,0.009257882428323462,-0.3180222334263537,0.0370364119745735,-1.2927725111237658
283767.7323601723,0.0021829258238330283,-0.0783916891952286,0.008730552189408962,-0.3088409578681997,0.0349268127149413,-1.255440513470952
292218.8984033253,0.0020585804942468786,-0.07612341668945732,0.008233236473695192,-0.2999240060673332,0.03293728741335372,-1.2191831031654612
300921.7569377095,0.0019413132562956462,-0.07392032447852925,0.007764229383874914,-0.2912638395674174,0.031061011576217518,-1.1839696185467714
309883.8038650537,0.0018307217530938776,-0.07178054748574797,0.007321921705582609,-0.2828531291590572,0.029291547493262238,-1.1497702493986486
319112.7583299095,0.0017264264391948624,-0.06970227243746974,0.006904795458052088,-0.27468474956828176,0.027622822437230576,-1.1165560152780802
328616.5693682682,0.0016280692940290106,-0.06768373653064624,0.006511418748562668,-0.2667517742368283,0.02604910807889277,-1.0842987442235597
338403.4227541824,0.001535312607158534,-0.0657232261246179,0.006140440914111173,-0.25904747019671887,0.024565001051120666,-1.052971051852218
348481.748050298,0.001447837831422688,-0.0638190754576421,0.00579058793460878,-0.25156529304113384,0.023165404599211487,-1.0225463208535306
358860.22586835746,0.0013653445002529616,-0.06196966538851828,0.005460658102722685,-0.2442988819931388,0.02184551125792994,-0.9929986808855524
369547.7953459452,0.0012875492056333296,-0.06017342216357735,0.005149517936264763,-0.23724205507340923,0.020600786498872384,-0.9643029888777619
380553.6618458956,0.001214184633366885,-0.05842881620920687,0.004856098319774595,-0.2303888043677372,0.019426953294731833,-0.9364348097435036
391887.30488501146,0.0011449986524873857,-0.056734360950006,0.004579390862652706,-0.22373329139477013,0.018319977549882543,-0.9093703975034471
403558.4862989119,0.0010797534558232933,-0.05508861165259704,0.004318444461875876,-0.21726984257417634,0.017276054349404116,-0.8830866768205219
415577.25865005,0.0010182247488813448,-0.05349016429504061,0.00407236205796447,-0.21099294479510555,0.01629159498121735,-0.8575612249455586
427953.97388612875,0.0009602009843698084,-0.051937654461762794,0.0038402975734838475,-0.20489724108465895,0.0153632146884565,-0.832772254072184
440699.29225639475,0.0009054826398256265,-0.050429756263838166,0.0036214530239378644,-0.1989775263758146,0.014487721111502441,-0.808698594098483
453824.1914934637,0.0008538815359471381,-0.048965181284436554,0.003415075791462907,-0.19322874337411602,0.013662103381305565,-0.7853196757923913
467339.9762686083,0.0008052201933641352,-0.047542677549188284,0.003220456052250401,-0.18764597852223083,0.012883521827705968,-0.7626155143569928
