noise_pct,fault_change_pct,fault_section,repeat,predicted_section,full_location_correct,predicted_group,true_group,group_location_correct,full_true_section_amplitude_error_pct,group_true_amplitude_error_pct,delta_cps1_pct,delta_cps2_pct,delta_cps3_pct,delta_cps4_pct
0.05,5.0,1,83,1,1,1,1,1,2.18040018983251,1.4869430625555742,5.111760623477478,-0.37417741311137953,0.2656571833167766,-0.1315647714057912
0.05,5.0,1,84,1,1,1,1,1,7.336728809046146,2.4164892650360583,5.3765317280231235,-0.14555958044966327,0.6225453887954022,-1.2048706082974643
0.05,5.0,1,85,1,1,1,1,1,2.7604709191743013,1.0660527906434294,4.858677170064496,0.42003370995008454,-0.4092927773228088,0.3176998900331781
0.05,5.0,1,86,1,1,1,1,1,1.1545925228521075,1.799374692114494,4.940867260439821,-0.05743090949524723,0.001996115344343436,0.17418792386589443
0.05,5.0,1,87,1,1,1,1,1,3.0649868094430923,5.901294095587289,4.843099074919497,-0.16651275340826,0.28176085200756457,-0.3531513215433333
0.05,5.0,1,88,1,1,1,1,1,7.321518106654801,4.492495205325859,5.375749697259877,-0.2601652977582454,0.20422085300672008,-0.13152110332776457
0.05,5.0,1,89,1,1,1,1,1,14.557468923866173,8.371094440604594,5.748429118471543,-0.4652525061648154,0.6156693643224637,-0.6345005103426984
0.05,5.0,1,90,1,1,1,1,1,13.163420313942401,13.832463599321029,4.327803177217431,-0.10390489498997761,-0.017414327767204665,0.2714158301470074
0.05,5.0,1,91,1,1,1,1,1,6.253298671206245,7.188946358058633,5.320843639443956,0.05495420250587499,-0.19438462175313417,0.3105438130088749
0.05,5.0,1,92,1,1,1,1,1,4.432305088516725,1.9052118905865727,5.227311232536101,-0.3605334917241193,0.10371218555721579,0.43005170201561116
0.05,5.0,1,93,1,1,1,1,1,0.12738059401162688,1.1373644938593621,4.993474536679749,0.05073971780319494,-0.2427289962885465,0.469115524841319
0.05,5.0,1,94,1,1,1,1,1,8.601009774855191,0.19642662915108636,5.441552741191984,-0.6667381547010035,0.8343045392844313,-0.9870821670001122
0.05,5.0,1,95,1,1,1,1,1,2.7853567276906728,6.540208822741879,5.142789914967394,0.5278875009946898,-0.33421678188806636,-0.060006134836279514
0.05,5.0,1,96,1,1,1,1,1,12.52842383440797,12.896789584505667,5.6437926798535765,-0.039286992889959904,-0.16887003159832303,0.4032339297858729
0.05,5.0,1,97,1,1,1,1,1,2.5012022055210332,6.114399878129747,4.871942383310931,-0.31489461954528886,0.3012299197719808,-0.27921460522011027
0.05,5.0,1,98,1,1,1,1,1,6.43547923330407,2.626804134538665,4.670829555712511,0.7764117734605525,-0.15986150706447888,-0.6328016599726636
0.05,5.0,1,99,1,1,1,1,1,18.62731540674768,19.047264065177934,5.958620782857695,0.028615091929966866,-0.13323466555212995,0.26933693511777623
0.05,5.0,1,100,1,1,1,1,1,6.813535683796601,5.98580958497668,4.651524345057897,0.3490032927413079,0.035326121163066805,-0.5224044894059595
0.05,5.0,1,101,1,1,1,1,1,4.411414872973791,4.195431766450726,4.774247695953928,0.27673247478326096,0.08727091613704964,-0.49902546306757145
0.05,5.0,1,102,1,1,1,1,1,18.179387995647915,12.023723569062215,4.072794031820851,0.7014564654328798,-0.5841574373753196,0.3637668008583932
0.05,5.0,1,103,1,1,1,1,1,5.920422437929786,5.922076835039575,5.303739779543082,-0.17482316553336746,-0.1923934612256535,0.6913934388786281
0.05,5.0,1,104,1,1,1,1,1,3.769344525190967,4.120188371595784,4.807075170344118,-0.11804222479732218,-0.0954130353544832,0.32198854111301545
