case,n,method,scenario,budget,port_error_pct,node_voltage_error_pct,branch_current_error_pct,displacement_current_error_pct,solve_ms,c_keep,m_keep
1,4,physics_proxy,M_only,0.9,75.86726159740847,25.29088601045509,76.06391343441538,21.53645455021486,3.8624499993602512,1.0,0.8928571428571428
1,4,physics_proxy,joint,0.9,75.8672615827998,25.290885997232653,76.06391343230013,21.53665483265386,3.8349000005837297,0.875,0.8928571428571428
1,4,physics_proxy,C_only,0.95,4.7815711130672534e-08,1.6283728276917118e-08,2.795278894001325e-09,0.0316196739223642,4.072050000104355,0.9375,1.0
1,4,physics_proxy,M_only,0.95,76.52679199046794,16.196323792450805,76.54069704716508,13.832658457997715,3.4740000000965665,1.0,0.9642857142857142
1,4,physics_proxy,joint,0.95,76.52679197667405,16.196323792450666,76.54069704716507,13.832694591436304,3.685500000756292,0.9375,0.9642857142857142
1,4,physics_proxy,C_only,1.0,0.0,0.0,0.0,0.0,4.33820000034757,1.0,1.0
1,4,physics_proxy,M_only,1.0,0.0,0.0,0.0,0.0,5.05434999922727,1.0,1.0
1,4,physics_proxy,joint,1.0,0.0,0.0,0.0,0.0,5.470250000144006,1.0,1.0
1,4,learned_gate,C_only,0.4,1.0364514793433453e-05,1.1899398408500683e-05,2.171868902563104e-06,9.255890384394364,6.317350001154409,0.375,1.0
1,4,learned_gate,M_only,0.4,97.44902333398642,5.591495383334618,98.37398261893203,5.62609129556402,3.93774999974994,1.0,0.39285714285714285
1,4,learned_gate,joint,0.4,97.44902215404328,5.5914917043106955,98.37398241755197,10.806935398146726,5.072549999567855,0.375,0.39285714285714285
1,4,learned_gate,C_only,0.6,1.5937676690671617e-06,9.005125491636862e-07,1.9865252498816472e-07,1.2483094656340967,4.3043999994552,0.625,1.0
1,4,learned_gate,M_only,0.6,96.63331088942186,4.463992681602228,97.20384209830667,3.5307652482959693,3.787249999732012,1.0,0.6071428571428571
1,4,learned_gate,joint,0.6,96.63331056684757,4.463991995033764,97.20384209598825,3.7446825942198663,4.0868500000215136,0.625,0.6071428571428571
1,4,learned_gate,C_only,0.8,5.60744848039767e-07,3.363512840147614e-07,4.887988200460522e-08,0.4666990079181842,3.47804999910295,0.8125,1.0
1,4,learned_gate,M_only,0.8,483.35776660664544,0.00047111634201282425,223.13147683829558,0.0023138969257476454,3.4251999995831284,1.0,0.7857142857142857
1,4,learned_gate,joint,0.8,483.3577665819427,0.0004701543118991775,223.13147683829553,0.46670472302273014,3.6585500001820037,0.8125,0.7857142857142857
1,4,learned_gate,C_only,0.9,7.115069286964787e-08,1.6608995432025815e-08,8.236807173493452e-09,0.09317471289095407,3.278449999925215,0.875,1.0
1,4,learned_gate,M_only,0.9,2.527984812737236,65.53030585403519,1.4895174795831836,59.349800781193906,3.9812500008338247,1.0,0.8928571428571428
1,4,learned_gate,joint,0.9,2.527984837646135,65.53030584000292,1.489517487584194,59.349866672294084,3.8749000004827394,0.875,0.8928571428571428
1,4,learned_gate,C_only,0.95,4.7815711130672534e-08,1.6283728276917118e-08,2.795278894001325e-09,0.0316196739223642,4.325049999351904,0.9375,1.0
1,4,learned_gate,M_only,0.95,76.5268108337002,9.350950521940876,76.54069220110505,7.8951206831953336,4.005449999567645,1.0,0.9642857142857142
1,4,learned_gate,joint,0.95,76.5268108199062,9.35095052194064,76.54069220110503,7.895183998369043,3.0747500004508765,0.9375,0.9642857142857142
1,4,learned_gate,C_only,1.0,0.0,0.0,0.0,0.0,3.3404499999960535,1.0,1.0
1,4,learned_gate,M_only,1.0,0.0,0.0,0.0,0.0,3.0859499993312056,1.0,1.0
1,4,learned_gate,joint,1.0,0.0,0.0,0.0,0.0,3.1391500006066053,1.0,1.0
2,8,distance,C_only,0.4,5.0757601008732814e-05,5.464142970785903e-05,7.074214498270263e-06,35.56807058696793,10.004550000303425,0.40625,1.0
2,8,distance,M_only,0.4,98.19252411879476,3.676213369019226,98.25189500958056,3.3789279289204743,8.530899999641406,1.0,0.4
2,8,distance,joint,0.4,98.19251721077629,3.6764793508080866,98.25189488239717,35.710865068664994,12.186349998955848,0.40625,0.4
2,8,distance,C_only,0.6,2.4966424759321663e-05,2.4367253927141465e-05,3.128026279946414e-06,20.161350572759112,12.834699999984878,0.59375,1.0
2,8,distance,M_only,0.6,98.57865244098667,4.173056020030307,98.62118994195411,4.73432939654395,11.533249999956752,1.0,0.6
2,8,distance,joint,0.6,98.5786483893869,4.173047298949102,98.62118985452622,20.69501181380553,15.289799999663956,0.59375,0.6
2,8,distance,C_only,0.8,7.3358300371441715e-06,4.562587643246987e-06,8.506516768048748e-07,9.079670822956922,10.873049999645445,0.796875,1.0
2,8,distance,M_only,0.8,98.04168658813803,3.4881514297920706,98.04308161916462,4.109507065831321,9.645150000324065,1.0,0.8
2,8,distance,joint,0.8,98.04168512745747,3.488150450794753,98.04308161936859,9.961919755858608,9.925349999321043,0.796875,0.8
2,8,distance,C_only,0.9,2.5785591007666873e-06,1.0288506166843232e-06,2.7479000317994574e-07,4.742239944973336,7.441699999617413,0.90625,1.0
