frequency_hz,abs_zin_full_ohm,abs_zin_literature_ohm,abs_ips_full_a,abs_ips_literature_a
1165914.401179831,7.924001937287259,7.923890753299344,4.0756196834735015e-05,4.075619886172297e-05
1211527.6586285902,8.234438333058165,8.234313568510407,4.235070447327748e-05,4.2350706747591974e-05
1258925.411794166,8.557072455746376,8.5569324505832,4.400759679405149e-05,4.4007599345870216e-05
1308177.4742601956,8.892387952415481,8.892230843393898,4.572931489998726e-05,4.572931776317012e-05
1359356.3908785242,9.240888180310996,9.240711876073957,4.751839545306161e-05,4.751839866559991e-05
1412537.5446227554,9.603097074725008,9.602899227804453,4.937747441980187e-05,4.937747802432222e-05
1467799.2676220676,9.979560062725449,9.979338038096458,5.1309290964175096e-05,5.130929500850525e-05
1525222.9565390197,10.370845026028624,10.37059586578518,5.331669149374016e-05,5.331669603154337e-05
1584893.1924611141,10.777543316592505,10.777263700258988,5.540263386516923e-05,5.5402638956656345e-05
1646897.8654828689,11.200270828868438,11.199957028812328,5.757019175551102e-05,5.75701974682394e-05
1711328.304161781,11.639669133031385,11.639316964356176,5.9822559205823395e-05,5.982256561559308e-05
1778279.410038923,12.096406673951124,12.09601143818763,6.216305534408687e-05,6.216306253594622e-05
1847849.7974222908,12.571180041140888,12.570736462959566,6.459512929459815e-05,6.459513736397241e-05
1920141.938638801,13.064715315480791,13.064217471546076,6.712236528134793e-05,6.712237433530505e-05
1995262.3149688789,13.577769499105672,13.57721073809105,6.974848793320656e-05,6.974849809187768e-05
2073321.573485954,14.111132035547733,14.110504888192862,7.247736779907549e-05,7.24773791972486e-05
2154434.6900318866,14.6656264279701,14.664922505930887,7.53130270815138e-05,7.53130398704221e-05
2238721.138568338,15.242111964219252,15.241321846282258,7.82596455977176e-05,7.825965994704547e-05
2326305.0671536284,15.841485558359645,15.840598662429198,8.132156697712111e-05,8.132158307725541e-05
2417315.480804101,16.464683719479318,16.463688158513573,8.450330510528816e-05,8.450332316984357e-05
2511886.4315095823,17.11268465975534,17.111567079618272,8.780955082420549e-05,8.780957109285832e-05
2610157.215682533,17.786510555182623,17.785255952078423,9.124517889952479e-05,9.124520164119223e-05
2712272.57933203,18.487229973917817,18.485821488791338,9.481525526579747e-05,9.481528078220443e-05
2818382.9312644494,19.215960488978567,19.21437917590809,9.85250445612282e-05,9.852507319090979e-05
2928644.564625237,19.97387149403045,19.972096059235778,0.00010238001796402873,0.00010238005008682028
3043219.887107722,20.762187243288533,20.76019375093489,0.00010638586134299417,0.00010638589738506896
3162277.6601683795,21.582190139126055,21.579951679568484,0.00011054848373553942,0.00011054852417506135
3285993.247600654,22.43522429392578,22.432710609460354,0.00011487402616705374,0.00011487407154051835
3414548.873833601,23.32269939604725,23.31987645854701,0.00011936887082610669,0.00011936892173545642
3548133.892335753,24.24609491359475,24.242924447620847,0.00012403965061075282,0.00012403970773135895
3686945.0645195735,25.206964673990775,25.203403618088487,0.00012889325906194015,0.00012889332315155905
3831186.849557293,26.206941862362605,26.202941760197128,0.0001339368607008378,0.00013393693260965798
3981071.7055349695,27.247744487382324,27.243250799193145,0.00013917790178775562,0.0001391779824696707
4136820.402388511,28.331181369759886,28.32613269323238,0.00014462412152126575,0.0001446242120465209
4298662.347082272,29.459158716034185,29.453485904089177,0.00015028356369709621,0.0001502836652664765
4466835.921509635,30.633687348946978,30.62731251011618,0.00015616458884745818,0.00015616470280820693
4641588.833612773,31.856890675602152,31.8497260404885,0.00016227588688256817,0.00016227601474624428
4823178.482239309,33.13101348606654,33.122960120920446,0.00016862649025737886,0.00016862663371989097
5011872.336272715,34.458431688390945,34.449378033901475,0.00017522578768781416,0.00017522594865189612
5207948.328595465,35.8416631013938,35.831483311388,0.00018208353844225195,0.0001820837190426766
5411695.265464637,37.28337944450867,37.271931495264404,0.00018920988723549332,0.0001892100898673583
5623413.251903491,38.786419684880066,38.77354322104796,0.00019661537975414545,0.00019661560710460395
5843414.133735175,40.35380492631677,40.339318803925245,0.00020431097884410993,0.00020431123392796672
6072021.956909884,41.988755053340604,41.972454533806825,0.00021230808139282805,0.00021230836759246992
6309573.44480193,43.69470737720594,43.67636091851779,0.0002206185359410472,0.00022061885705123565
6556418.494179785,45.47533757045966,45.454683152469876,0.0002292546610611725,0.00022925502133928915
6812920.690579622,47.33458322341126,47.31132413318318,0.00023822926454178283,0.00023822966876419003
7079457.843841373,49.276670411570514,49.250470401561124,0.0002475556634206282,0.00024755611694588886
7356422.5445964215,51.306143729236474,51.276621445263665,0.000257247704911443,0.0002572482137512315
7644222.742525994,53.42790032343173,53.39462288033852,0.0002673197882731705,0.0002673203591718089
7943282.347242822,55.647228557064004,55.609704116937756,0.0002777868876738551,0.000277787528197521
8254041.852680173,57.96985204410587,57.92752122390526,0.0002886645761053708,0.0002886652947421502
8576958.985908946,60.40197993718434,60.35420583850964,0.0002999690504096006,0.00029996985668170054
8912509.381337442,62.95036451470737,62.89642112664016,0.000311717157481434,0.000311718062071027
9261187.281287938,65.6223673179387,65.56142599251577,0.00032392642171935815,0.0003239274366097129
9623506.263980888,68.4260353370029,68.35714897333112,0.00033661507380025444,0.0003366162124339957
10000000.0,71.37018905031923,71.29227354459186,0.00034980208086160823,0.00034980335831818603
